DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
953,Norton,Kansas,BOR ,-99.93575,39.805524,1964-07-11,2018-12-18,NA
955,Long Branch Dam,Missouri,ACE_KAN,-92.517382,39.753459,1980-01-01,2020-12-31,NA
956,Kirwin,Kansas,BOR ,-99.127083,39.659702,1976-01-01,2018-12-18,NA
957,Cherry Creek Dam,Colorado,ACE_OMA,-104.8599,39.646658,1957-01-02,2019-10-01,NA
958,Bonny,Colorado,BOR,-102.174556,39.621971,1950-10-01,2018-12-18,NA
961,Clarence Cannon Dam,Missouri,ACE_STL,-91.648475,39.526146,1980-01-01,2020-12-31,NA
962,Glen Elder,Kansas,BOR,-98.318864,39.473081,2010-01-01,2018-12-18,NA
963,Webster,Kansas,BOR,-99.424609,39.40559,2010-01-01,2018-12-18,NA
964,Smithville Dam,Missouri,ACE_KAN,-94.554967,39.398007,1979-12-01,2020-12-31,NA
965,Tuttle Creek Dam,Kansas,ACE_KAN,-96.59375,39.260417,1959-07-21,2020-12-31,NA
967,Perry Dam,Kansas,ACE_KAN,-95.432391,39.111675,1971-01-01,2020-12-31,NA
968,Milford Dam,Kansas,ACE_KAN,-96.899609,39.078243,1965-01-01,2020-12-31,NA
